Ebenezer,1234561025,Savings,99778898
Arkoh,123456798,Savings,70000000
Addo,987456123,Checking,80000000
Alfred,145456789,Savings,60000000
Tekyi,9874561753,Checking,50000000
Abigail,123456177,Savings,40000000
Goma,9874561466,Checking,20000000
Oyibo,123456755,Savings,30000000
Junior,987456144,Checking,10000000
Chris,123456733,Savings,31000000
Jeff,987456122,Checking,22200000
Romeo,123456717,Savings,20000000
Elizabeth,987456192,Checking,20000000
Regina,123456711,Savings,660000000
Jemimah,987456135,Checking,20000000
